generator_id,num_levels,times_shown,times_won,times_lost,times_tied,times_completed,total_deaths,total_play_time_seconds,win_rate,completion_rate,avg_deaths,difficulty_score,tag_fun,tag_boring,tag_too_hard,tag_too_easy,tag_creative,tag_good_flow,tag_unfair,tag_confusing,tag_impossible,num_plays,total_wins,avg_duration,avg_deaths_telemetry,completion_rate_telemetry,coins_collected,enemies_stomped,jumps
genetic,58,81,35,27,16,21,60,1070.26,0.542483660130719,0.3074712643678161,0.6925287356321839,0.6925287356321839,1,3,3,4,0,1,0,0,0,81,35,13.213086419753086,0.7407407407407407,0.25925925925925924,0.4691358024691358,0.024691358024691357,6.580246913580247
hopper,59,83,42,30,8,19,64,1204.415,0.5909090909090909,0.24293785310734464,0.7570621468926553,0.7570621468926553,1,3,0,0,1,0,0,0,1,83,42,14.511024096385542,0.7710843373493976,0.2289156626506024,0.3493975903614458,1.5662650602409638,10.228915662650602
marioDiffusion,64,84,26,40,18,3,81,984.066,0.3779761904761905,0.03645833333333333,0.9635416666666666,0.9635416666666666,2,4,8,0,2,0,2,1,20,84,26,11.715071428571429,0.9642857142857143,0.03571428571428571,0.47619047619047616,0.17857142857142858,9.5
mariodpo,20,20,15,3,2,8,11,251.25,0.8333333333333334,0.4,0.55,0.6,0,0,0,0,0,0,0,0,0,20,15,12.5625,0.55,0.4,0.8,0.6,9.55
mariogan,58,94,39,41,11,22,70,1570.12,0.483974358974359,0.22988505747126436,0.7442528735632183,0.7701149425287356,2,0,4,1,1,0,0,0,10,94,39,16.70340425531915,0.7446808510638298,0.23404255319148937,0.010638297872340425,1.0638297872340425,13.98936170212766
mariogpt,59,89,49,33,7,17,65,2077.538,0.6383928571428571,0.23163841807909605,0.692090395480226,0.768361581920904,4,0,6,1,8,0,1,1,23,89,49,23.343123595505617,0.7303370786516854,0.19101123595505617,3.235955056179775,1.1123595505617978,17.471910112359552
notch,53,78,44,23,10,23,55,1139.625,0.6739130434782609,0.33962264150943394,0.660377358490566,0.660377358490566,5,2,0,2,2,0,0,0,0,78,44,14.610576923076923,0.7051282051282052,0.2948717948717949,0.3076923076923077,0.3974358974358974,12.205128205128204
notchParam,59,87,16,49,17,14,73,2023.6140000000003,0.23851851851851855,0.12824858757062146,0.8717514124293785,0.8717514124293786,2,18,1,5,0,0,0,0,3,87,16,23.259931034482758,0.8390804597701149,0.16091954022988506,0.2988505747126437,0.7011494252873564,7.712643678160919
notchParamRand,61,92,27,45,16,39,52,1502.689,0.39622641509433965,0.4494535519125683,0.534153005464481,0.5505464480874317,2,19,0,6,0,0,0,0,0,92,27,16.333576086956523,0.5652173913043478,0.42391304347826086,1.076086956521739,0.5217391304347826,11.891304347826088
ore,67,98,55,25,11,13,84,1886.036,0.6925287356321839,0.16169154228855723,0.8308457711442786,0.8383084577114428,5,0,7,0,2,1,0,0,0,98,55,19.245265306122448,0.8571428571428571,0.1326530612244898,0.5816326530612245,0.37755102040816324,15.510204081632653
original,14,88,72,6,7,21,67,2451.546,0.8964285714285715,0.24744897959183673,0.7525510204081632,0.7525510204081632,15,0,0,0,13,2,0,0,1,88,72,27.85847727272727,0.7613636363636364,0.23863636363636365,5.7727272727272725,1.8863636363636365,20.875
patternCount,60,83,11,50,16,4,74,891.935,0.2037037037037037,0.03888888888888888,0.9194444444444444,0.961111111111111,3,2,18,0,1,0,0,0,5,83,11,10.746204819277107,0.891566265060241,0.04819277108433735,0.14457831325301204,0.0,8.74698795180723
patternOccur,59,81,19,52,9,2,72,1093.06,0.2610062893081761,0.025423728813559324,0.8728813559322034,0.9745762711864406,1,1,10,0,0,0,1,0,3,81,19,13.494567901234568,0.8888888888888888,0.024691358024691357,0.6172839506172839,0.0,10.049382716049383
patternWeightCount,56,83,22,49,12,7,72,1408.008,0.29901960784313725,0.06845238095238095,0.8898809523809524,0.931547619047619,3,0,8,0,1,0,1,0,4,83,22,16.963951807228916,0.8674698795180723,0.08433734939759036,1.4578313253012047,0.0,14.566265060240964
test-gen,1,1,1,0,0,0,1,3.478,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,1,3.478,1.0,0.0,6.0,0.0,2.0
