level_id,generator_id,times_shown,times_won,times_lost,times_tied,times_skipped,times_completed,total_deaths,total_play_time_seconds,win_rate,completion_rate,avg_deaths,avg_duration_seconds,tag_fun,tag_boring,tag_too_hard,tag_too_easy,tag_creative,tag_good_flow,tag_unfair,tag_confusing,tag_not_mario_like,difficulty_score,updated_at_utc,times_play_skipped,tag_impossible,tag_broken_graphics,width,height,ground_tiles,platform_tiles,pipe_tiles,coin_tiles,question_block_tiles,brick_tiles,empty_tiles,enemy_goomba,enemy_koopa_red,enemy_koopa_green,enemy_spiky,enemy_piranha,enemy_bullet_bill,enemy_total,gap_count,max_gap_width,platform_count,avg_platform_height,height_variance,enemy_density,coin_density,gap_density,structural_complexity,leniency_score,computed_at_utc
original::lvl-11.txt,original,9,9,0,0,0,0,9,77.116,1.0,0.0,1.0,8.568444444444445,0,0,0,0,0,1,0,0,0,1.0,2026-01-30T14:13:05.329529+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-3.txt,original,8,6,0,2,0,0,8,131.172,1.0,0.0,1.0,16.3965,2,0,0,0,1,0,0,0,0,1.0,2026-02-01T17:20:56.133276+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-5.txt,original,8,5,1,1,1,2,6,175.122,0.8333333333333334,0.25,0.75,21.89025,0,0,0,0,0,0,0,0,0,0.75,2026-02-01T17:42:33.983814+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-2.txt,original,8,8,0,0,0,1,7,335.31399999999996,1.0,0.125,0.875,41.914249999999996,2,0,0,0,0,0,0,0,0,0.875,2026-01-27T12:01:43.059335+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-4.txt,original,8,5,1,1,1,1,7,273.951,0.8333333333333334,0.125,0.875,34.243875,1,0,0,0,1,0,0,0,0,0.875,2026-01-31T21:24:07.561921+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-8.txt,original,7,6,0,0,1,2,5,224.98499999999999,1.0,0.2857142857142857,0.7142857142857143,32.14071428571428,1,0,0,0,1,0,0,0,0,0.7142857142857143,2026-01-27T15:40:32.616918+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-13.txt,original,7,6,0,1,0,3,4,254.011,1.0,0.42857142857142855,0.5714285714285714,36.287285714285716,3,0,0,0,3,0,0,0,0,0.5714285714285714,2026-02-01T17:22:11.604433+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-6.txt,original,6,4,1,1,0,4,2,225.411,0.8,0.6666666666666666,0.3333333333333333,37.5685,1,0,0,0,1,0,0,0,0,0.33333333333333337,2026-01-31T08:22:22.699006+00:00,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-1.txt,original,6,6,0,0,0,5,1,353.937,1.0,0.8333333333333334,0.16666666666666666,58.9895,3,0,0,0,3,0,0,0,0,0.16666666666666663,2026-01-31T20:17:41.433456+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-14.txt,original,6,6,0,0,0,0,6,49.935,1.0,0.0,1.0,8.3225,0,0,0,0,0,0,0,0,0,1.0,2026-02-01T17:42:17.798825+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
patternWeightCount::lvl-43.txt,patternWeightCount,5,0,4,1,0,0,5,7.614,0.0,0.0,1.0,1.5228,0,0,0,0,0,0,1,0,0,1.0,2026-01-27T12:08:45.357475+00:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
notchParam::lvl-57.txt,notchParam,5,2,3,0,0,2,3,101.606,0.4,0.4,0.6,20.321199999999997,0,1,0,0,0,0,0,0,0,0.6,2026-01-31T08:05:57.851346+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-12.txt,original,5,5,0,0,0,0,5,91.995,1.0,0.0,1.0,18.399,1,0,0,0,2,1,0,0,0,1.0,2026-02-01T17:25:50.030142+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
notchParam::lvl-18.txt,notchParam,4,0,2,1,1,0,4,48.804,0.0,0.0,1.0,12.201,0,1,0,0,0,0,0,0,0,1.0,2026-02-01T17:23:50.487177+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
notch::lvl-79.txt,notch,4,1,2,1,0,4,0,98.50399999999999,0.3333333333333333,1.0,0.0,24.625999999999998,0,0,0,1,0,0,0,0,0,0.0,2026-01-27T01:21:24.618207+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
patternWeightCount::lvl-59.txt,patternWeightCount,4,1,3,0,0,2,2,103.221,0.25,0.5,0.5,25.80525,1,0,1,0,0,0,0,0,0,0.5,2026-01-30T13:37:11.187893+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
notchParamRand::lvl-6.txt,notchParamRand,4,1,1,2,0,1,3,70.45,0.5,0.25,0.75,17.6125,0,1,0,0,0,0,0,0,0,0.75,2026-02-01T17:25:04.533572+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ore::lvl-87.txt,ore,4,2,2,0,0,0,4,37.99400000000001,0.5,0.0,1.0,9.498500000000002,0,0,0,0,0,0,0,0,0,1.0,2026-01-30T13:37:11.187893+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
notchParamRand::lvl-7.txt,notchParamRand,4,0,3,0,1,0,4,10.751999999999999,0.0,0.0,1.0,2.6879999999999997,0,0,0,0,0,0,0,0,0,1.0,2026-01-31T16:50:45.621670+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopper::lvl-56.txt,hopper,4,1,1,0,2,0,4,30.645999999999997,0.5,0.0,1.0,7.661499999999999,0,0,0,0,0,0,0,0,0,1.0,2026-01-28T15:53:19.754049+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mariogan::level_19.txt,mariogan,4,2,2,0,0,2,2,69.835,0.5,0.5,0.5,17.45875,0,0,0,0,0,0,0,0,0,0.5,2026-02-01T17:22:11.604433+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mariogpt::level_051.txt,mariogpt,4,1,3,0,0,0,4,1.517,0.25,0.0,1.0,0.37925,0,0,0,0,0,0,0,0,0,1.0,2026-01-30T13:38:01.454647+00:00,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
marioDiffusion::level_100.txt,marioDiffusion,4,0,2,2,0,0,4,2.851,0.0,0.0,1.0,0.71275,0,0,1,0,0,0,0,0,0,1.0,2026-01-30T14:14:59.129951+00:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-7.txt,original,4,3,1,0,0,3,1,205.38400000000001,0.75,0.75,0.25,51.346000000000004,1,0,0,0,1,0,0,0,0,0.25,2026-01-25T21:39:00.354293+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopper::lvl-71.txt,hopper,4,0,4,0,0,0,4,24.434,0.0,0.0,1.0,6.1085,0,0,0,0,0,0,0,0,0,1.0,2026-01-29T16:18:36.692319+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
notch::lvl-64.txt,notch,4,2,1,1,0,2,2,52.16199999999999,0.6666666666666666,0.5,0.5,13.040499999999998,1,0,0,0,0,0,0,0,0,0.5,2026-02-01T17:16:03.328186+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ore::lvl-83.txt,ore,3,3,0,0,0,0,3,48.431000000000004,1.0,0.0,1.0,16.143666666666668,0,0,0,0,2,0,0,0,0,1.0,2026-01-08T15:29:53.644730+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
notch::lvl-84.txt,notch,3,2,1,0,0,0,3,31.106,0.6666666666666666,0.0,1.0,10.368666666666668,0,0,0,0,0,0,0,0,0,1.0,2026-01-30T13:34:06.238674+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
patternCount::lvl-39.txt,patternCount,3,0,3,0,0,0,3,48.167,0.0,0.0,1.0,16.055666666666667,0,0,0,0,0,0,0,0,1,1.0,2026-01-02T14:16:44.310837+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
patternWeightCount::lvl-21.txt,patternWeightCount,3,2,0,1,0,1,2,223.065,1.0,0.3333333333333333,0.6666666666666666,74.355,1,0,0,0,0,0,0,0,0,0.6666666666666667,2026-01-26T07:31:00.625553+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
patternCount::lvl-69.txt,patternCount,3,1,0,2,0,0,3,22.928,1.0,0.0,1.0,7.642666666666667,0,0,0,0,0,0,0,0,0,1.0,2026-01-14T14:24:22.660202+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
patternWeightCount::lvl-46.txt,patternWeightCount,3,0,3,0,0,0,3,90.179,0.0,0.0,1.0,30.05966666666667,0,0,1,0,0,0,0,0,0,1.0,2026-01-21T14:15:00.066673+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
patternWeightCount::lvl-5.txt,patternWeightCount,3,2,1,0,0,0,2,20.336,0.6666666666666666,0.0,0.6666666666666666,6.778666666666666,0,0,0,0,0,0,0,0,0,1.0,2026-01-31T16:48:22.936526+00:00,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
patternCount::lvl-68.txt,patternCount,3,2,1,0,0,1,2,92.90299999999999,0.6666666666666666,0.3333333333333333,0.6666666666666666,30.967666666666663,0,0,1,0,0,0,0,0,0,0.6666666666666667,2026-01-26T20:54:57.721940+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
original::lvl-10.txt,original,3,2,0,1,0,0,3,35.382,1.0,0.0,1.0,11.793999999999999,0,0,0,0,0,0,0,0,0,1.0,2026-01-31T16:50:15.181187+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ore::lvl-8.txt,ore,3,1,1,0,1,0,3,10.613,0.5,0.0,1.0,3.5376666666666665,0,0,1,0,0,0,0,0,0,1.0,2026-01-31T16:50:27.061952+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
patternWeightCount::lvl-63.txt,patternWeightCount,3,0,2,1,0,0,3,28.128,0.0,0.0,1.0,9.376,0,0,0,0,0,0,0,0,0,1.0,2026-01-30T13:34:06.238674+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mariogan::level_66.txt,mariogan,3,2,1,0,0,2,1,83.236,0.6666666666666666,0.6666666666666666,0.3333333333333333,27.745333333333335,0,0,0,0,0,0,0,0,0,0.33333333333333337,2026-02-01T17:18:19.539914+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
notchParam::lvl-92.txt,notchParam,3,0,2,1,0,0,3,283.98800000000006,0.0,0.0,1.0,94.66266666666668,0,1,0,0,0,0,0,0,0,1.0,2026-01-27T12:00:25.970652+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
genetic::lvl-100.txt,genetic,3,0,2,0,1,1,2,40.022999999999996,0.0,0.3333333333333333,0.6666666666666666,13.341,0,0,0,0,0,0,0,0,0,0.6666666666666667,2026-01-27T15:41:47.074931+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
notchParamRand::lvl-88.txt,notchParamRand,3,1,2,0,0,2,1,104.429,0.3333333333333333,0.6666666666666666,0.3333333333333333,34.809666666666665,0,0,0,0,0,0,0,0,0,0.33333333333333337,2026-01-27T14:54:53.932814+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
genetic::lvl-82.txt,genetic,3,1,0,1,1,0,3,176.927,1.0,0.0,1.0,58.97566666666666,0,0,0,0,0,0,0,0,0,1.0,2026-01-08T15:18:32.844423+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
marioDiffusion::level_24.txt,marioDiffusion,3,3,0,0,0,1,2,41.794000000000004,1.0,0.3333333333333333,0.6666666666666666,13.931333333333335,0,0,0,0,0,0,0,0,0,0.6666666666666667,2026-01-22T10:59:39.678326+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
notch::lvl-46.txt,notch,3,1,2,0,0,0,3,28.186,0.3333333333333333,0.0,1.0,9.395333333333333,0,0,0,0,0,0,0,0,0,1.0,2026-01-31T08:40:36.240326+00:00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
