trajectory_id,vote_id,level_id,player_id,side,max_x_reached,unique_tiles_visited,backtrack_amount,forward_amount,backtrack_ratio,vertical_movement,path_length,avg_speed,duration_ticks,state_changes,final_state
traj_cb645391-76b5-4a17-8069-cfbdc0984712,v_1e422629-50c8-4c2a-ace2-50f6c98c41e4,patternWeightCount::lvl-99.txt,anon_aaeacaf4-6956-4b32-8407-824c4cdd3f92,left,606,30,65,663,0.09789156626506024,1053,1424.2115949833665,32.36844534053105,44,0,0
traj_41a5abe7-e429-416c-bbbc-96f03ee8f34c,v_1e422629-50c8-4c2a-ace2-50f6c98c41e4,notchParamRand::lvl-40.txt,anon_aaeacaf4-6956-4b32-8407-824c4cdd3f92,right,586,15,0,578,0.0,338,737.116852210096,38.79562380053137,19,0,0
traj_acd70b84-8c59-438f-b5b0-1112b328680d,v_21d5646c-ea46-4551-83d1-03198c0520b0,notch::lvl-24.txt,anon_aaeacaf4-6956-4b32-8407-824c4cdd3f92,left,597,15,0,589,0.0,374,740.4475307882107,16.82835297245933,44,0,0
traj_9815a5a8-44d1-45e5-85b7-8b38114df046,v_21d5646c-ea46-4551-83d1-03198c0520b0,ore::lvl-89.txt,anon_aaeacaf4-6956-4b32-8407-824c4cdd3f92,right,517,16,0,509,0.0,338,670.6328328046962,30.48331058203165,22,0,0
traj_5393e6f3-110b-4c30-9470-beadce085344,v_a951d8e7-888f-4fb5-864f-35d8afd0ec1d,marioDiffusion::level_70.txt,anon_57b8b83d-01b4-4c11-a88c-b639bd2ed990,left,740,38,150,882,0.16987542468856173,996,1649.9084301851276,32.99816860370255,50,0,0
traj_b2a276e3-e595-4139-8be4-1c99815284a1,v_a951d8e7-888f-4fb5-864f-35d8afd0ec1d,notchParam::lvl-7.txt,anon_57b8b83d-01b4-4c11-a88c-b639bd2ed990,right,1602,43,54,1648,0.03274711946634324,832,2145.625993825194,42.071097918141064,51,0,0
traj_714e1f1c-f4af-4ddc-83f3-fcf7f0352508,v_0cfefd9c-d370-47f2-8859-71fda93bdeff,genetic::lvl-100.txt,anon_1575bc4a-8ab3-4bac-9213-640e500b4960,left,73,5,21,65,0.3181818181818182,165,200.91302191255807,22.32366910139534,9,0,0
traj_d1aba3cd-5755-48fa-8a2b-5168059fe8e4,v_0cfefd9c-d370-47f2-8859-71fda93bdeff,mariogan::level_22.txt,anon_1575bc4a-8ab3-4bac-9213-640e500b4960,right,2658,109,129,2779,0.046402877697841724,3187,4867.963770413563,40.56636475344636,120,0,0
traj_f0829f78-f892-449c-8535-6a31f1095c06,v_7ed47aaf-868f-44b8-b1d9-2193768e4dea,patternWeightCount::lvl-28.txt,anon_1575bc4a-8ab3-4bac-9213-640e500b4960,left,176,18,23,191,0.11979166666666667,862,934.8273856163662,28.32810259443534,33,0,0
traj_1fb74390-52ef-463a-a445-43724c26abd7,v_7ed47aaf-868f-44b8-b1d9-2193768e4dea,mariogan::level_43.txt,anon_1575bc4a-8ab3-4bac-9213-640e500b4960,right,454,22,17,463,0.036637931034482756,781,1034.0431980576027,35.6566620019863,29,0,0
