generator_id,family,score_sum,decisive_or_tie,shown,wins,losses,ties,skips,score_rate,completion_rate,death_rate,median_duration,mean_progress_px,rank,score_ci_low,score_ci_high,score_ci_sd,bt_theta,bt_rating
original,human,120.0,144,146,110,14,20,2,0.8333333333333334,0.2361111111111111,0.7638888888888888,13.500499999999999,1396.3333333333333,1,0.7799656488549619,0.8872296229704696,0.02625328937822439,1.877673143607448,1326.18524762657
mariodpo,preference-trained,96.5,116,116,86,9,21,0,0.8318965517241379,0.25862068965517243,0.7327586206896551,16.592,1354.3826086956522,2,0.7745763713745272,0.8831845970065351,0.028272684251104886,1.8586061768713866,1322.8729761125082
ore,constructive/search,93.0,142,149,84,40,18,7,0.6549295774647887,0.14788732394366197,0.852112676056338,10.877500000000001,1078.0915492957747,3,0.5768965517241379,0.7226653833183453,0.03634421788945952,0.7815247719832966,1135.7647640344398
mariogpt,neural,87.5,136,138,76,37,23,2,0.6433823529411765,0.2867647058823529,0.6544117647058824,18.991999999999997,1242.5546875,4,0.5693402582818641,0.7126865671641791,0.03661217776849595,0.7595112371137469,1131.9406211866785
notch,constructive,74.5,140,141,63,54,23,1,0.5321428571428571,0.19285714285714287,0.8071428571428572,6.304,1115.2142857142858,5,0.4545305023923445,0.6093803510273973,0.038300889711722505,0.20758289117992337,1036.0608431734156
mariogan,neural,78.5,155,160,68,66,21,5,0.5064516129032258,0.2645161290322581,0.7354838709677419,11.25,1338.1935483870968,6,0.4387629125724364,0.5838480134325943,0.03702263390029906,0.028340004161743208,1004.9231631749689
hopper,constructive,70.5,144,147,62,65,17,3,0.4895833333333333,0.20833333333333334,0.7916666666666666,5.402,1364.9444444444443,7,0.4166044776119403,0.5669800434428455,0.038659431333740675,-0.1553078843272594,973.020256012014
genetic,search,70.0,143,145,56,59,28,2,0.48951048951048953,0.32167832167832167,0.6783216783216783,7.672,1217.6993006993007,8,0.4182872162022704,0.5621330802852542,0.0371127288349378,-0.12296496137914698,978.6387974321296
marioDiffusion,neural,67.5,152,152,56,73,23,0,0.4440789473684211,0.09868421052631579,0.9013157894736842,5.694,904.7894736842105,9,0.3707482993197279,0.5185243055555555,0.03695174702168056,-0.3417003989509751,940.6405584351143
patternWeightCount,pattern,58.5,152,153,43,78,31,1,0.3848684210526316,0.05921052631578947,0.9078947368421053,7.2485,736.0952380952381,10,0.31689307442286857,0.45578775510204084,0.03456213268669496,-0.6833296212699672,881.293481518148
notchParamRand,constructive,49.5,135,138,37,73,25,3,0.36666666666666664,0.42962962962962964,0.5703703703703704,10.548,1859.6666666666667,11,0.29316969749956284,0.44310491035373933,0.038483996765712805,-0.7846638103488898,863.6899291265736
notchParam,constructive,43.0,140,145,27,81,32,5,0.30714285714285716,0.16428571428571428,0.8357142857142857,6.994,1439.4785714285715,12,0.23467759444203215,0.3767839953389401,0.034737765870600235,-1.0564479711947647,816.4761826295821
patternOccur,pattern,39.5,139,141,30,90,19,2,0.2841726618705036,0.04316546762589928,0.8705035971223022,5.133,652.0944881889764,13,0.21590198863636365,0.352734634551495,0.03667250785811805,-1.0969455686745928,809.4410290901008
patternCount,pattern,32.5,124,129,18,77,29,5,0.2620967741935484,0.056451612903225805,0.9112903225806451,3.4705,565.2083333333334,14,0.19651162790697674,0.3254870795734208,0.033165453812085896,-1.2718780087719483,779.0521504477564
