generator_id,trajectory_count,occupancy_entropy,occupancy_area,median_max_x,mean_verticality,path_jaccard_diversity,death_entropy,max_death_bin_share,early_death_rate,score_rate,bt_rating,rank
genetic,145,7.202507403219832,0.3828125,1143.0,29.16496957954918,0.8696170345605806,2.54545044262157,0.29292929292929293,0.5555555555555556,0.48951048951048953,978.6387974321296,8
hopper,147,7.882437044791534,0.6953125,957.0,31.824278179609426,0.8474888316494161,2.4503462449563567,0.358974358974359,0.49572649572649574,0.4895833333333333,973.020256012014,7
marioDiffusion,152,8.403544051525529,0.8,405.0,44.90718150315806,0.9118777689908277,2.4845112281408457,0.43795620437956206,0.7007299270072993,0.4440789473684211,940.6405584351143,9
mariodpo,115,8.169604360912693,0.7375,988.0,38.37136138381883,0.8822566913066558,2.801873309953069,0.23529411764705882,0.5176470588235295,0.8318965517241379,1322.8729761125082,2
mariogan,160,7.897613883171589,0.615625,1014.5,35.90286602923936,0.888133310285028,2.7787676017052654,0.2689075630252101,0.5378151260504201,0.5064516129032258,1004.9231631749689,6
mariogpt,130,8.022716215713912,0.6296875,1147.0,33.40751584307251,0.8956278968413046,2.473903011671846,0.42857142857142855,0.5934065934065934,0.6433823529411765,1131.9406211866785,4
notch,141,7.730422455698452,0.4890625,821.0,31.4759365457598,0.9198577808100606,2.5105307111421338,0.3157894736842105,0.5701754385964912,0.5321428571428571,1036.0608431734156,5
notchParam,145,7.457919203794148,0.4921875,1167.0,28.060575983481286,0.8863611367755382,2.8765336690400996,0.2809917355371901,0.35537190082644626,0.30714285714285716,816.4761826295821,12
notchParamRand,138,7.617164158342474,0.50625,1777.5,29.686468649862697,0.8987992034961025,2.7325516132758376,0.3375,0.5625,0.36666666666666664,863.6899291265736,11
ore,149,8.554619051574688,0.90625,600.0,38.26209919396175,0.9035631950017903,2.4600942550281397,0.3984375,0.6875,0.6549295774647887,1135.7647640344398,3
original,146,8.3145752149704,0.80625,1126.5,41.35120904667088,0.8912767878783732,2.800297466467208,0.24107142857142858,0.5089285714285714,0.8333333333333334,1326.18524762657,1
patternCount,124,7.645095237357871,0.5515625,174.5,43.92292292869083,0.8641289519897426,1.7608583191044027,0.6324786324786325,0.8376068376068376,0.2620967741935484,779.0521504477564,14
patternOccur,128,7.871673346248937,0.6359375,372.5,41.64205635209563,0.8913019123083001,2.1443707710178654,0.48360655737704916,0.7786885245901639,0.2841726618705036,809.4410290901008,13
patternWeightCount,148,7.823651683709155,0.6453125,412.5,42.97433234814751,0.8846971728764668,2.2869404303293974,0.45323741007194246,0.7553956834532374,0.3848684210526316,881.293481518148,10
