generator_id,level_id,width,height,solid_density,empty_density,enemy_count,enemy_density,reward_count,reward_density,block_density,pipe_density,gap_count,gap_density,max_gap_width,linearity_r2,nonlinearity,surface_resid_std,surface_std,leniency,tile_entropy,column_entropy,unique_column_ratio,compression_ratio,within_ncd,distance_to_original_ncd,ncd_pairs,distance_to_original_centroid
genetic,genetic::lvl-1.txt,200,16,0.1075,0.8909375,4,0.02,5,0.025,0.035,0.69,5,0.075,4,2.798753726174219e-05,0.9999720124627383,1.12353620133309,1.1174621669961093,0.72246247771836,0.7300202098358533,2.7273419275884883,0.11,0.05816485225505443,0.7701907323717319,0.8421229530135014,1770,4.235289036658208
genetic,genetic::lvl-10.txt,200,16,0.1903125,0.8075,6,0.03,6,0.03,0.045,1.53,1,0.015,3,0.04456818344139468,0.9554318165586053,1.6843276777194165,1.7143951447853567,0.8378462809917355,1.0690210518279162,3.4587370871336884,0.16,0.06687402799377916,0.7701907323717319,0.8421229530135014,1770,2.9717375403995687
genetic,genetic::lvl-100.txt,200,16,0.1196875,0.8778125,7,0.035,0,0.0,0.0,0.655,1,0.02,4,0.0031545395877756732,0.9968454604122243,1.5483860376163736,1.5429013464135293,0.7835455435847208,0.7580812297866576,1.9128195166511426,0.085,0.04727838258164852,0.7701907323717319,0.8421229530135014,1770,4.297209831807102
genetic,genetic::lvl-11.txt,200,16,0.146875,0.8521875,2,0.01,2,0.01,0.015,1.155,2,0.025,3,0.04005607223553964,0.9599439277644604,1.7001976716213292,1.726385711989494,0.823472131147541,0.8874301985645461,2.595428431939249,0.115,0.060653188180404355,0.7701907323717319,0.8421229530135014,1770,3.618626712908509
genetic,genetic::lvl-12.txt,200,16,0.13375,0.86375,7,0.035,2,0.01,0.05,0.825,1,0.025,5,9.623535817870899e-05,0.9999037646418213,1.4347649218533378,1.4274568771401377,0.7514654528478056,0.8307654878992519,2.8922042518640234,0.13,0.05754276827371695,0.7701907323717319,0.8421229530135014,1770,3.601262470943501
genetic,genetic::lvl-13.txt,200,16,0.1328125,0.864375,8,0.04,3,0.015,0.025,1.035,6,0.11,6,0.01163415595085493,0.9883658440491451,1.5616145565474782,1.561929102875283,0.6288029595015576,0.840335261507485,3.1724986294699975,0.125,0.06625194401244168,0.7701907323717319,0.8421229530135014,1770,2.9981250124551226
genetic,genetic::lvl-14.txt,200,16,0.159375,0.838125,7,0.035,0,0.0,0.0,1.355,3,0.04,3,0.07945575191444165,0.9205442480855583,1.4917624333737771,1.5466908560428831,0.7835455435847208,0.9181362755843001,3.064289753015153,0.12,0.060031104199066876,0.7701907323717319,0.8421229530135014,1770,4.123935106998879
genetic,genetic::lvl-15.txt,200,16,0.1428125,0.85625,2,0.01,2,0.01,0.02,1.09,3,0.055,5,0.001084031493649773,0.9989159685063502,1.80001893180925,1.791440944880994,0.7207458781362007,0.8787041304780135,2.7284087322011032,0.13,0.06158631415241057,0.7701907323717319,0.8421229530135014,1770,3.3105659891782033
genetic,genetic::lvl-16.txt,200,16,0.146875,0.85125,5,0.025,3,0.015,0.025,1.23,2,0.025,3,8.961009054120339e-05,0.9999103899094588,1.6416300224856437,1.633262889436114,0.8179327411167513,0.9015740886173206,2.8406539262009645,0.105,0.06438569206842924,0.7701907323717319,0.8421229530135014,1770,3.449944209224149
genetic,genetic::lvl-17.txt,200,16,0.1203125,0.8775,6,0.03,1,0.005,0.015,0.845,3,0.04,3,0.039805340086804586,0.9601946599131954,1.375629790721342,1.3965230727447124,0.7879046168958743,0.7889312410766098,2.7130834858930255,0.12,0.056920684292379474,0.7701907323717319,0.8421229530135014,1770,3.9679621061663024
