vote_id,battle_id,session_id,player_id,created_at_utc,created_at,side,generator_id,level_id,opponent_generator_id,opponent_level_id,vote_result,result_for_side,score_for_side,played,skipped_play,completed,deaths,died,duration_seconds,jumps,coins_collected,enemies_killed,trajectory_length,trajectory_max_x,trajectory_min_x,trajectory_y_std,trajectory_x_std,event_count,death_count_locations,tag_count,tag_fun,tag_boring,tag_too_hard,tag_too_easy,tag_creative,tag_impossible,tag_broken_graphics
v_c778af22-8c6e-4006-ad72-63e94418d6a2,btl_3e366049-469b-4132-ab73-73d222f733e4,112c0f47-d1ce-4d53-869d-349673aec9e5,anon_64941084-f829-4939-8305-bb3433681a53,2026-05-03T13:43:53.109517+00:00,2026-05-03 13:43:53.109517+00:00,left,notchParam,notchParam::lvl-73.txt,patternOccur,patternOccur::lvl-54.txt,LEFT,win,1.0,True,False,False,1,1,8.505,6,0,1,33,733.0,8.0,29.341002002841726,256.9950852238251,16,1,0,0,0,0,0,0,0,0
v_c778af22-8c6e-4006-ad72-63e94418d6a2,btl_3e366049-469b-4132-ab73-73d222f733e4,112c0f47-d1ce-4d53-869d-349673aec9e5,anon_64941084-f829-4939-8305-bb3433681a53,2026-05-03T13:43:53.109517+00:00,2026-05-03 13:43:53.109517+00:00,right,patternOccur,patternOccur::lvl-54.txt,notchParam,notchParam::lvl-73.txt,LEFT,loss,0.0,True,False,False,1,1,0.716,0,0,0,3,35.0,8.0,75.07477753694793,11.08552609887726,6,1,1,0,0,1,0,0,0,0
v_39dc82dd-094f-4e30-a116-69cb0eed7b1c,btl_eea0d20b-e0f4-4bad-859c-d008f90cdc13,112c0f47-d1ce-4d53-869d-349673aec9e5,anon_64941084-f829-4939-8305-bb3433681a53,2026-05-03T13:43:29.600624+00:00,2026-05-03 13:43:29.600624+00:00,left,patternOccur,patternOccur::lvl-97.txt,mariodpo,mariodpo::mariodpo_nintendo_0187.txt,RIGHT,loss,0.0,True,False,False,1,1,14.068,15,1,0,53,763.0,8.0,35.19653410232247,239.29502191138442,38,1,0,0,0,0,0,0,0,0
v_39dc82dd-094f-4e30-a116-69cb0eed7b1c,btl_eea0d20b-e0f4-4bad-859c-d008f90cdc13,112c0f47-d1ce-4d53-869d-349673aec9e5,anon_64941084-f829-4939-8305-bb3433681a53,2026-05-03T13:43:29.600624+00:00,2026-05-03 13:43:29.600624+00:00,right,mariodpo,mariodpo::mariodpo_nintendo_0187.txt,patternOccur,patternOccur::lvl-97.txt,RIGHT,win,1.0,True,False,False,1,1,48.606,36,9,0,183,2215.0,40.0,51.92818689407061,520.7444160165197,91,1,2,1,0,0,0,1,0,0
v_97138801-80dd-4402-b6bf-7659b63f306f,btl_56bd75d9-26c6-49aa-a3f5-729405a5b182,112c0f47-d1ce-4d53-869d-349673aec9e5,anon_64941084-f829-4939-8305-bb3433681a53,2026-05-03T13:42:17.652921+00:00,2026-05-03 13:42:17.652921+00:00,left,hopper,hopper::lvl-67.txt,notch,notch::lvl-65.txt,RIGHT,loss,0.0,True,False,True,0,0,26.449,19,1,4,99,3140.0,8.0,42.542348827142014,981.7719480322643,61,0,0,0,0,0,0,0,0,0
v_97138801-80dd-4402-b6bf-7659b63f306f,btl_56bd75d9-26c6-49aa-a3f5-729405a5b182,112c0f47-d1ce-4d53-869d-349673aec9e5,anon_64941084-f829-4939-8305-bb3433681a53,2026-05-03T13:42:17.652921+00:00,2026-05-03 13:42:17.652921+00:00,right,notch,notch::lvl-65.txt,hopper,hopper::lvl-67.txt,RIGHT,win,1.0,True,False,True,0,0,37.414,37,2,0,141,2283.0,8.0,34.60732027140191,642.6365251333298,77,0,1,1,0,0,0,0,0,0
v_c064b539-73e1-46ff-9a6b-f7605862a306,btl_484ba936-2b5d-4b2c-9f26-aa353fad7358,112c0f47-d1ce-4d53-869d-349673aec9e5,anon_64941084-f829-4939-8305-bb3433681a53,2026-05-03T13:41:04.894363+00:00,2026-05-03 13:41:04.894363+00:00,left,genetic,genetic::lvl-61.txt,mariogan,mariogan::level_41.txt,LEFT,win,1.0,True,False,False,1,1,2.779,1,0,0,11,395.0,8.0,15.811388300841896,133.3483600347861,3,1,0,0,0,0,0,0,0,0
v_c064b539-73e1-46ff-9a6b-f7605862a306,btl_484ba936-2b5d-4b2c-9f26-aa353fad7358,112c0f47-d1ce-4d53-869d-349673aec9e5,anon_64941084-f829-4939-8305-bb3433681a53,2026-05-03T13:41:04.894363+00:00,2026-05-03 13:41:04.894363+00:00,right,mariogan,mariogan::level_41.txt,genetic,genetic::lvl-61.txt,LEFT,loss,0.0,True,False,False,1,1,2.182,0,0,0,9,369.0,8.0,0.0,130.96649274613037,2,1,0,0,0,0,0,0,0,0
v_2e3218e9-6549-421f-81d8-86f4bcba1d21,btl_6eb40f89-0928-4eb3-96cc-6741690a89b1,7beec95e-b422-4fcb-addc-03f96b1c68c5,anon_7f556d66-9db3-4f99-890e-799fd9038dfc,2026-04-25T16:15:52.251023+00:00,2026-04-25 16:15:52.251023+00:00,left,hopper,hopper::lvl-73.txt,ore,ore::lvl-22.txt,RIGHT,loss,0.0,True,False,True,0,0,11.218,15,0,1,43,3137.0,8.0,50.199580044742106,956.876871219008,43,0,0,0,0,0,0,0,0,0
v_2e3218e9-6549-421f-81d8-86f4bcba1d21,btl_6eb40f89-0928-4eb3-96cc-6741690a89b1,7beec95e-b422-4fcb-addc-03f96b1c68c5,anon_7f556d66-9db3-4f99-890e-799fd9038dfc,2026-04-25T16:15:52.251023+00:00,2026-04-25 16:15:52.251023+00:00,right,ore,ore::lvl-22.txt,hopper,hopper::lvl-73.txt,RIGHT,win,1.0,True,False,False,1,1,12.07,14,1,1,45,849.0,8.0,38.027709195620325,222.66842536453387,34,1,0,0,0,0,0,0,0,0
